Grays Harbor|01531823|[-13843122.916299999, 5908020.151600003, -13709936.150199998, 6029678.453200003]
Greeley|00485002|[-11359634.5379, 4616563.2875000015, -11306398.207700001, 4678743.509800001]
Jackson|00198144|[-11897070.2802, 4913068.529700004, -11783364.6237, 5012735.415300003]
Broadwater|01719625|[-12444178.971900001, 5753708.557400003, -12362809.634800002, 5906540.259400003]
Silver Bow|01719575|[-12588623.5953, 5720435.299900003, -12488933.5173, 5810086.893500003]
Colusa|01675902|[-13668375.1951, 4710777.048600003, -13558199.6013, 4781220.849300003]
Monterey|00277291|[-13578609.779199999, 4271624.321699999, -13382160.338299999, 4427918.223799999]
Stanislaus|00277314|[-13523847.3826, 4457909.925800003, -13401489.2113, 4590369.302500003]
San Juan|00198171|[-12019729.872000001, 4528621.428000003, -11962183.695200002, 4574485.631300003]
Caribou|00395406|[-12484459.085099999, 5223473.311099999, -12361314.318999998, 5315380.496299999]
Shoshone|01702379|[-12949829.8437, 5931121.174599998, -12797153.566, 6118442.165899998]
Garfield|01716058|[-12019013.800900001, 5916840.5304000005, -11809492.3156, 6104005.034000001]
Missoula|01719596|[-12779167.7918, 5882164.200300001, -12612813.5765, 6040605.739500001]
Banner|00835826|[-11583125.3194, 5070488.931900002, -11506779.944, 5116086.477200002]
Washoe|00858608|[-13358979.986, 4745407.876100004, -13266016.513899999, 5160626.9064000035]
Grant|00915980|[-12139111.1014, 3745432.278499998, -11978900.386999998, 3923164.838299998]
Curry|01155129|[-13866652.4387, 5160302.1153, -13772024.8457, 5305224.9978]
Ector|01383853|[-11443542.9028, 3717622.420599997, -11386542.411899999, 3774735.678199997]
Carbon|01448018|[-12384015.8849, 4788854.266099997, -12231107.7341, 4838969.383999997]
Grand|01448024|[-12265099.469999999, 4650292.865800001, -12139476.8514, 4793524.679400001]
Mason|01529221|[-13748629.5957, 5955470.065800004, -13670051.8313, 6041742.457300004]
Whatcom|01529224|[-13702378.6128, 6214072.650799997, -13431218.7519, 6275285.550699997]
Lemhi|00399754|[-12781700.3653, 5501141.810699999, -12558368.4767, 5733240.0616]
Washington|00399757|[-13051435.549899999, 5488850.762800001, -12946408.3751, 5596464.1479]
Big Horn|01716521|[-12100387.6588, 5620544.753600001, -11829220.4378, 5787341.627100001]
Mineral|01720030|[-12886260.395100001, 5892704.684600003, -12737107.9339, 6023544.091300003]
Sanders|01719578|[-12918603.266800001, 5961806.264399998, -12711247.079300001, 6150888.509799998]
Clark|00863600|[-12901588.0154, 4164134.2092000023, -12695189.8369, 4418703.194700003]
White Pine|00858615|[-12902735.529199999, 4675554.920599997, -12695586.960299999, 4884641.262099997]
Thurston|01529226|[-13714792.9113, 5903317.5339, -13603546.3091, 5973183.4418]
San Bernardino|00277300|[-13113720.0034, 4011471.597000003, -12705029.5695, 4274458.907400003]
Benton|01155126|[-13783239.3158, 5508342.151600003, -13700439.984, 5577752.277600003]
Brewster|01383807|[-11555039.852, 3372033.9827999994, -11390289.61, 3589441.1921999995]
