Gila|00040471|[-1431931.7393999994, 1207984.4475999996, -1279134.8683999993, 1385981.3472999996]
Del Norte|01682074|[-2297604.9957999997, 2373524.3007999994, -2232264.1545999995, 2452711.4887999995]
Fremont|00198137|[-864123.8024000004, 1728197.3351000007, -769832.3582000004, 1785580.0441000008]
Routt|00198169|[-962689.568, 1928145.9321999997, -887973.9166, 2055490.2148999998]
Adams|00395067|[-1636340.6273999996, 2555303.4768000003, -1568659.1649999996, 2651413.5541000003]
Clearwater|00395697|[-1562661.0928000007, 2744966.0810000002, -1419654.7522000007, 2826119.6944000004]
Blaine|00395696|[-1510596.075099999, 2307100.7070000004, -1366107.900199999, 2482819.8974000006]
Cassia|00395698|[-1494844.0530999992, 2235483.1897, -1379604.9964999992, 2317048.2087]
Wichita|00485062|[-482262.9791000001, 1704448.2496000007, -441621.03850000014, 1755292.4166000006]
Jefferson|01720045|[-1276462.8706, 2634933.7095999997, -1208450.4569, 2723664.6144]
Ravalli|01719582|[-1440517.5527, 2634671.9822000004, -1352356.3069, 2765497.5137000005]
Jefferson|01155132|[-2028185.2663000003, 2637342.4689000007, -1903154.1830000002, 2700250.5016000005]
Marion|01135859|[-2116546.6602, 2685780.7051, -2005035.3332999998, 2775441.5039999997]
Cochran|01383825|[-651526.0357000008, 1167800.5406999998, -607465.3072000009, 1219387.5016999997]
Winkler|01384033|[-691407.7733999994, 975923.5966999996, -638174.0343999993, 1026135.5743999997]
Juab|01455158|[-1527755.0368000008, 1925190.1026000008, -1316875.3140000007, 2021219.6786000007]
Ferry|01531821|[-1704085.3058000002, 2957398.387700001, -1629516.5058000002, 3090565.872800001]
Whitman|01533501|[-1692568.7117999997, 2782774.536800001, -1588215.8771999998, 2888738.299300001]
Sheridan|01605081|[-935479.091, 2438917.3191, -787996.5756, 2504568.0235]
Yavapai|00042809|[-1580616.117900001, 1329505.6441000002, -1405056.9558000008, 1527670.0806000002]
Plumas|00277296|[-2129313.4969999995, 2113482.4702000003, -2020035.0379999995, 2222835.2552000005]
Shasta|01682610|[-2250477.3517000005, 2219037.6688, -2083418.1479000004, 2324929.8468]
Arapahoe|00198118|[-769652.0299999993, 1864969.0755000003, -653794.6815999993, 1893107.6115000003]
Rich|01448030|[-1280882.0151000004, 2116436.8607, -1232641.6496000004, 2214720.0666]
Walla Walla|01531819|[-1765862.5646000002, 2753549.4388999995, -1685472.0036000002, 2826458.3364999993]
Custer|00198129|[-847581.2717000004, 1690846.9756000005, -783174.4848000004, 1736259.3841000004]
Luna|00933057|[-1148348.7403999995, 1030932.9489000002, -1052120.0466999996, 1128877.4753000003]
Siskiyou|00277311|[-2263443.056500001, 2301387.6622, -2068628.6966000008, 2436476.6931000003]
Kearny|00485011|[-482969.36209999956, 1645167.8867000006, -442084.04659999954, 1706329.3549000006]
Lincoln|01720038|[-1492489.7533999998, 2912938.226399999, -1375401.535, 3044425.629299999]
Mora|01702367|[-868364.3532999996, 1447246.4360000007, -743392.1089999996, 1508944.8777000008]
Garfield|01448023|[-1452663.9169999994, 1709974.4515000004, -1204652.2655999993, 1803139.4411000004]
Franklin|01531822|[-1783033.5338000003, 2793259.1766999997, -1688282.4392000004, 2857967.3636]
Pinal|00025447|[-1506879.8969, 1151494.1460999995, -1333414.3683, 1272958.5435999995]
Marin|00277285|[-2319198.2240999993, 1962720.2245000005, -2270961.704699999, 2027484.9986000005]
San Joaquin|00277303|[-2209870.8158, 1901968.3373000007, -2141110.2728, 1986043.2260000007]
Adams|00198116|[-767178.1819000002, 1884355.5535000004, -651350.0004000003, 1922897.9052000004]
Summit|00198174|[-882774.2204, 1860239.1535, -830299.9044, 1927042.0844]
Powder River|01719584|[-806701.8039999995, 2479576.946799999, -697957.3837999995, 2576232.370999999]
Eureka|00858640|[-1749896.1574000008, 1970898.6848000009, -1662611.543200001, 2184373.7880000006]
Greenlee|00042807|[-1247889.5310999993, 1122958.5851999996, -1195961.2699999993, 1276174.7126999996]
Santa Cruz|00040472|[-1449109.5539999995, 1021608.8079000004, -1358379.2158999995, 1075182.7059000004]
Conejos|00198126|[-936558.1841000002, 1594064.1204000004, -852139.8293000002, 1648532.2794000003]
Elbert|00198136|[-740942.2246000003, 1786920.2898999993, -656032.7554000003, 1871908.1925999993]
Lincoln|00198152|[-694757.1469999999, 1745071.6149000004, -608511.0869999998, 1865023.3489000003]
Montezuma|00198157|[-1146479.8794, 1621676.7456999999, -1043497.4283, 1698188.9093]
Pueblo|00198166|[-786885.1873000003, 1662917.5308999997, -694746.0043000004, 1757375.2222999996]
Washington|00198176|[-655415.0911999997, 1859271.3542, -569750.0260999997, 1960512.7793]
Yuma|00198178|[-578654.1013999991, 1855634.3480999991, -508607.99289999914, 1956430.709299999]
Contra Costa|01675903|[-2270536.9847999997, 1938974.2364000008, -2195338.082, 1983137.6294000007]
Glenn|00277275|[-2258016.6423000004, 2117070.2392999995, -2175097.3359000003, 2186178.7874999996]
Imperial|00277277|[-1862277.7280000001, 1242357.2833000002, -1705014.3843, 1346166.8168000001]
Placer|00277295|[-2168377.9153000005, 2027285.7811999992, -2029003.0823000004, 2081767.604299999]
Kings|00277280|[-2151297.8353000004, 1674988.7167000007, -2064987.1518000003, 1751676.0900000008]
Lassen|01693324|[-2104882.683599999, 2110798.5281000007, -1976277.365799999, 2298910.7353000008]
Tuolumne|00277319|[-2125206.4935, 1881019.0642000008, -2001097.7725999998, 1972506.558100001]
San Francisco|00277302|[-2327633.9793999996, 1947721.0442999993, -2267549.8079999997, 1965490.4539999992]
Alamosa|00198117|[-879173.5927000009, 1634523.1151, -823735.0381000008, 1680850.3727]
Chaffee|00198123|[-907573.1929000001, 1756419.770300001, -850663.2819000002, 1831820.3896000008]
Bonneville|00395407|[-1324660.0741000008, 2321272.8681000005, -1206102.1984000008, 2407746.6708000004]
Butte|00401703|[-1422993.2412999999, 2376207.4272000007, -1327884.8387999998, 2487083.9503000006]
Canyon|00399406|[-1674487.3210000005, 2433171.9354, -1631175.7055000004, 2505652.7564999997]
Custer|00399758|[-1523771.8321000002, 2419857.7391999997, -1371437.8655000003, 2571209.1325]
Gem|00395442|[-1646838.6558999997, 2485435.4799000006, -1586741.0907999997, 2560369.9740000004]
Jefferson|00399751|[-1334876.4978999998, 2395682.0823999997, -1249445.9575999998, 2457623.894]
Madison|00394803|[-1275895.7543000001, 2392202.7295999993, -1226613.8698000002, 2433414.366799999]
Payette|00394896|[-1666268.5577000007, 2492806.8768000007, -1618238.3294000006, 2533811.4944000007]
Benewah|00395190|[-1591406.8772, 2835629.9157, -1531791.3189, 2884425.6908]
Logan|00485019|[-472247.56650000066, 1751792.3545999993, -411933.55290000065, 1803533.1477999992]
Billings|01035616|[-585359.9594, 2647827.9738999996, -534162.778, 2727615.0604]
Divide|01034234|[-598911.0228000004, 2866493.4581000004, -511916.65200000035, 2913445.2917000004]
Mountrail|01035307|[-514691.88299999945, 2767040.2431000005, -441365.08489999943, 2856956.6359000006]
Oliver|01034205|[-440297.9759999998, 2675586.5124999993, -372376.0261999998, 2710845.0757999993]
Morrill|00835883|[-610489.0245999992, 2067353.5059999991, -547519.5211999991, 2134694.858499999]
Stark|01035618|[-555129.2445, 2641856.782400001, -465645.7074, 2686526.0703000007]
Ward|01034231|[-464787.8997000009, 2771277.846999999, -373704.0963000009, 2881829.713799999]
Sheridan|00835902|[-553463.4130000006, 2127527.2190000005, -492901.07870000065, 2242373.8835000005]
Esmeralda|00858641|[-1935460.6927000005, 1754554.4443999995, -1825788.4102000005, 1928938.1117999994]
Humboldt|00863310|[-1928313.1510000005, 2145608.444, -1715049.8088000005, 2344570.529]
Nye|00863599|[-1889310.0920000002, 1619277.1133999992, -1626650.9905000003, 1998228.2464999992]
Carson City|00863219|[-2034551.977499999, 2033339.6009999998, -1995571.0862999992, 2054806.8697999998]
Catron|00929108|[-1204689.3861999996, 1195887.028, -1064418.5932999996, 1361112.4508]
Quay|00929110|[-738679.0792999994, 1311021.7083, -630648.0007999993, 1435266.7139]
San Miguel|00929114|[-877321.6446000002, 1372564.5339000002, -686761.0191000003, 1468742.3469000002]
Torrance|00929112|[-951685.4960999992, 1285711.1892, -839185.7687999991, 1381186.8177999998]
Valencia|00933052|[-1017385.4146999996, 1316105.9360999996, -941839.7629999996, 1381844.1729999995]
Daniels|01637566|[-752756.4383000005, 2871778.1862000003, -667441.7730000005, 2927963.8193000006]
Stevens|00485056|[-489506.04539999925, 1562427.1406999994, -444261.3660999992, 1608532.0124999995]
Thomas|00485057|[-461512.55220000073, 1799901.7621, -401673.88940000074, 1851614.8383]
Park|01720027|[-1179730.2128999997, 2524703.4946, -1079966.1591999996, 2667008.5511999996]
Stillwater|01719572|[-1100622.6294, 2541631.4287, -997528.6531, 2644744.9606]
Toole|01719566|[-1203028.1176999994, 2894224.7249, -1126483.7176999995, 2990070.4809999997]
Chase|00835836|[-509262.6320999991, 1938883.8202, -447703.9434999991, 1981259.5659999999]
Cherry|00835837|[-495889.3128999993, 2128022.4067, -340188.2066999993, 2238409.7773]
